,Institution,Control,State,Category
82,Butler University,Private,IN,In-person
83,Butte College,Public,CA,Hybrid model
84,BYU - Hawaii,Private,HI,Online
85,California Baptist University,Private,CA,In-person
86,California Institute of the Arts,Private,CA,Hybrid model
87,California Lutheran University,Private,CA,Considering options
88,California State University — all system campuses,Public,CA,Link
89,California State University — Bakersfield,Public,CA,Online
90,California State University — Channel Islands,Public,CA,Online
91,California State University — Chico,Public,CA,Online
92,California State University — Dominguez Hills,Public,CA,Online
93,California State University — East Bay,Public,CA,Online
94,California State University — Fresno State,Public,CA,Online
95,California State University — Fullerton,Public,CA,Online
96,California State University — Humboldt,Public,CA,Online
97,California State University — Long Beach,Public,CA,Online
98,California State University — Los Angeles,Public,CA,Online
99,California State University — Maritime Academy,Public,CA,Online
100,California State University — Monterey Bay,Public,CA,Online
101,California State University — Northridge,Public,CA,Online
102,California State University — Polytechnic at Pomona,Public,CA,Online
103,California State University — Polytechnic at San Luis Obispo,Public,CA,Online
104,California State University — Sacramento,Public,CA,Online
105,California State University — San Bernardino,Public,CA,Online
106,California State University — San Diego State University,Public,CA,Online
107,California State University — San Francisco State University,Public,CA,Online
108,California State University — San José State University,Public,CA,Online
109,California State University — San Marcos,Public,CA,Online
110,California State University — Sonoma State University,Public,CA,Online
111,California State University — Stanislaus,Public,CA,Online
112,California University of Pennsylvania,Public,PA,In-person
113,Calvin University,Private,MI,In-person
114,Cameron University,Public,OK,Considering options
115,Campbell University,Private,NC,Considering options
116,Cañada College,Public,CA,Online
117,Cape Cod Community College,Public,MA,Hybrid model
118,Cape Fear Community College,Public,NC,Hybrid model
119,Capitol Technological University,Private,MD,In-person
120,Carleton College,Private,MN,Considering options
121,Carlow University,Private,PA,Hybrid model
122,Carnegie Mellon University,Private,PA,Hybrid model
123,Carroll College,Private,MT,In-person
124,Carroll University,Public,WI,In-person
125,Case Western Reserve University,Private,OH,Hybrid model
126,Catholic University of America,Private,DC,In-person
127,Cazenovia College,Private,NY,In-person
128,Cedarville University,Private,OH,In-person
129,Centenary University,Private,NJ,Considering options
130,Central Christian College of the Bible,Private,MO,In-person
131,Central Michigan University,Public,MI,In-person
132,Central New Mexico Community College,Public,NM,Online
133,Central State University,Public,OH,In-person
134,Centre College,Private,KY,Hybrid model
135,Chaffey College,Public,CA,Online
136,Chaminade University,Private,HI,In-person
137,Chapman University,Private,CA,In-person
138,Charleston Southern University,Private,SC,In-person
139,Chatham University,Private,PA,In-person
140,Chowan University,Private,NC,In-person
141,Christian Brothers University,Private,TN,In-person
142,Christopher Newport University,Public,VA,In-person
143,Citrus College,Public,CA,Online
144,City College of San Francisco,Public,CA,Online
145,Claremont Colleges,Private,CA,In-person
146,Clarion University of Pennsylvania,Public,PA,In-person
147,Clark University,Private,MA,Undecided
148,Clarke University,Private,IA,In-person
149,Clemson University,Public,SC,Considering options
150,Cleveland Institute of Art,Private,OH,Hybrid model
151,Cleveland State University,Public,OH,Considering options
152,Coastal Carolina University,Public,SC,In-person
153,Colby College,Private,ME,Undecided
154,Colgate University,Private,NY,Considering options
155,College for Creative Studies,Private,MI,In-person
156,College of Alameda,Public,CA,Online
157,College of Idaho,Private,ID,In-person
158,College of New Jersey,Public,NJ,Undecided
159,College of Our Lady of the Elms,Private,MA,In-person
160,College of Saint Benedict and Saint John's University,Private,MN,In-person
161,College of San Mateo,Public,CA,Online
162,College of the Atlantic,Private,ME,In-person
163,College of the Desert,Public,CA,Online
164,College of the Holy Cross,Private,MA,Undecided
165,College of William & Mary,Public,VA,In-person
166,College of William & Mary ,Public,VA,In-person
167,College of Wooster,Private,OH,Considering options
168,Colorado Christian University,Private,CO,Considering options
169,Colorado College,Private,CO,Considering options
170,Colorado Mesa University,Public,CO,In-person
171,Colorado School of Mines,Public,CO,In-person
172,Colorado State University,Public,CO,In-person
173,Columbia College,Private,SC,In-person
174,Columbia College,Private,MO,In-person
175,Columbia College Chicago,Private,IL,Considering options
176,Columbia International University,Private,SC,In-person
177,Columbia University,Private,NY,Considering options
178,Community College of Allegheny County,Public,PA,In-person
179,Community College of Philadelphia,Public,PA,Online
180,Concord University,Public,WV,In-person
181,Concordia University Ann Arbor,Private,MI,In-person
182,Concordia University Chicago,Private,IL,In-person
183,Concordia University Irvine,Private,CA,In-person
184,Concordia University Nebraska,Private,NE,In-person
185,Concordia University St. Paul,Private,MN,In-person
186,Concordia University Texas,Private,TX,In-person
187,Concordia University Wisconsin,Private,WI,In-person
188,Converse College,Private,SC,In-person
189,Cornell College,Private,IA,In-person
190,Cornell University,Private,NY,Undecided
191,Cornerstone University,Private,MI,In-person
192,Cornish College of the Arts,Private,WA,Undecided
193,Cottey College,Private,MO,In-person
194,Covenant College,Private,GA,In-person
195,Crafton Hills College,Public,CA,Online
196,Creighton University,Private,NE,In-person
197,Culinary Institute of America,Private,NY,In-person
198,Cuyahoga Community College,Public,OH,Hybrid model
199,Cypress College,Public,CA,Online
