,index,AR,Location,Price,SAT,Unnamed: 0,Institution,Control,State,Category,Institution_stripped
130,126,63% Acceptance Rate,"Newark, DE ","$16,286 Net Price",1130-1330 SAT Range,746.0,University of Delaware,Public,DE,In-person,universityofdelaware
131,127,89% Acceptance Rate,"Ames, IA ","$13,949 Net Price",1160-1410 SAT Range,333.0,Iowa State University,Public,IA,Hybrid model,iowastateuniversity
132,128,61% Acceptance Rate,"Appleton, WI ","$28,180 Net Price",1220-1460 SAT Range,366.0,Lawrence University,Private,WI,Considering options,lawrenceuniversity
133,129,29% Acceptance Rate,"Washington, DC ","$32,732 Net Price",1180-1350 SAT Range,10.0,American University,Private,DC,Undecided,americanuniversity
134,130,41% Acceptance Rate,"Fort Worth, TX ","$35,363 Net Price",1130-1330 SAT Range,684.0,Texas Christian University,Private,TX,In-person,texaschristianuniversity
135,131,47% Acceptance Rate,"Syracuse, NY ","$35,306 Net Price",1160-1350 SAT Range,667.0,Syracuse University,Private,NY,In-person,syracuseuniversity
136,132,58% Acceptance Rate,"Piscataway, NJ ","$16,016 Net Price",1190-1400 SAT Range,585.0,Rutgers University,Public,NJ,Considering options,rutgersuniversity
137,133,34% Acceptance Rate,"Lancaster, PA ","$24,472 Net Price",1200-1420 SAT Range,264.0,Franklin and Marshall College,Private,PA,Considering options,franklinandmarshallcollege
138,134,58% Acceptance Rate,"Amherst, MA ","$21,281 Net Price",1180-1360 SAT Range,786.0,University of Massachusets Amherst,Public,MA,Undecided,universityofmassachusetsamherst
139,135,63% Acceptance Rate,"Crawfordsville, IN ","$24,603 Net Price",1070-1280 SAT Range,922.0,Wabash College,Private,IN,In-person,wabashcollege
140,136,37% Acceptance Rate,"Granville, OH ","$32,290 Net Price",1200-1380 SAT Range,208.0,Denison University,Private,OH,In-person,denisonuniversity
141,137,68% Acceptance Rate,"Saint Peter, MN ","$29,894 Net Price",1080-1340 SAT Range,,,,,,
142,138,44% Acceptance Rate,"Waltham, MA ","$36,613 Net Price",1210-1380 SAT Range,54.0,Bentley University,Private,MA,In-person,bentleyuniversity
143,139,84% Acceptance Rate,"Auburn, AL ","$22,613 Net Price",1130-1310 SAT Range,25.0,Auburn University,Public,AL,Hybrid model,auburnuniversity
144,140,34% Acceptance Rate,"Oberlin, OH ","$39,794 Net Price",1280-1450 SAT Range,523.0,Oberlin College,Private,OH,In-person,oberlincollege
145,141,75% Acceptance Rate,"Harrisonburg, VA ","$16,154 Net Price",1100-1260 SAT Range,338.0,James Madison University,Public,VA,In-person,jamesmadisonuniversity
146,142,40% Acceptance Rate,"Malibu, CA ","$36,372 Net Price",1200-1390 SAT Range,544.0,Pepperdine University,Private,CA,In-person,pepperdineuniversity
147,143,47% Acceptance Rate,"Sewanee, TN ","$34,001 Net Price",1140-1320 SAT Range,610.0,Sewanee: The University of the South,Private,TN,In-person,sewanee:theuniversityofthesouth
148,144,64% Acceptance Rate,"St. Louis, MO ","$31,718 Net Price",1170-1390 SAT Range,650.0,St. Louis University,Private,MO,In-person,st.louisuniversity
149,145,70% Acceptance Rate,"Portland, OR ","$33,327 Net Price",1140-1320 SAT Range,828.0,University of Portland,Private,OR,In-person,universityofportland
150,146,74% Acceptance Rate,"Norman, OK ","$20,003 Net Price",1150-1380 SAT Range,823.0,University of Oklahoma,Public,OK,In-person,universityofoklahoma
151,147,58% Acceptance Rate,"Denver, CO ","$35,163 Net Price",1160-1350 SAT Range,747.0,University of Denver,Private,CO,In-person,universityofdenver
152,148,50% Acceptance Rate,"San Diego, CA ","$38,592 Net Price",1180-1350 SAT Range,834.0,University of San Diego,Private,CA,Hybrid model,universityofsandiego
153,149,74% Acceptance Rate,"Stillwater, OK ","$14,513 Net Price",1070-1260 SAT Range,530.0,Oklahoma State University,Public,OK,In-person,oklahomastateuniversity
