,Rank,Institution,City,State
66,66,University of Georgia,Athens, GA 
67,67,Grinnell College,Grinnell, IA 
68,68,Brigham Young University,Provo, UT 
69,69,Tulane University,New Orleans, LA 
70,70,Colorado School of Mines,Golden, CO 
71,71,Vassar College,Poughkeepsie, NY 
72,72,Kenyon College,Gambier, OH 
73,73,University of Washington,Seattle, WA 
74,74,Lafayette College,Easton, PA 
75,75,Case Western Reserve University,Cleveland, OH 
76,76,The Cooper Union for the Advancement of Science and Art,New York, NY 
77,77,Southern Methodist University,Dallas, TX 
78,78,Rensselaer Polytechnic Institute,Troy, NY 
79,79,Purdue University,West Lafayette, IN 
80,80,University of Miami,Coral Gables, FL 
81,81,Worcester Polytechnic Institute,Worcester, MA 
82,82,Bryn Mawr College,Bryn Mawr, PA 
83,83,Colorado College,Colorado Springs, CO 
84,84,Macalester College,Saint Paul, MN 
85,85,University of California at Santa Barbara,Santa Barbara, CA 
86,86,College of the Holy Cross,Worcester, MA 
87,87,University of Minnesota,Minneapolis, MN 
88,88,Pennsylvania State University,University Park, PA 
89,89,Texas A&M University,College Station, TX 
90,90,Ohio State University,Columbus, OH 
91,91,Stevens Institute of Technology,Hoboken, NJ 
92,92,Pitzer College,Claremont, CA 
93,93,Mount Holyoke,South Hadley, MA 
94,94,North Carolina State University,Raleigh, NC 
95,95,Santa Clara University,Santa Clara, CA 
96,96,Reed College,Portland, OR 
97,97,Villanova University,Villanova, PA 
98,98,Rose-Hulman Institute of Technology,Terre Haute, IN 
99,99,Whitman College,Walla Walla, WA 
100,100,Scripps College,Claremont, CA 
101,101,Clemson University,Clemson, SC 
102,102,Michigan State University,East Lansing, MI 
103,103,University of Tulsa,Tulsa, OK 
104,104,University of Maryland - College Park,College Park, MD 
105,105,Babson College,Wellesley, MA 
106,106,Wheaton College (Ill.),Wheaton, IL 
107,107,Trinity University,San Antonio, TX 
108,108,University of Pittsburgh,Pittsburgh, PA 
109,109,University of California at Davis,Davis, CA 
110,110,Yeshiva University,New York, NY 
111,111,Gettysburg College,Gettysburg, PA 
112,112,Brandeis University,Waltham, MA 
113,113,George Washington University,Washington, DC 
114,114,Skidmore College,Saratoga Springs, NY 
115,115,St. Olaf College,Northfield, MN 
116,116,Michigan Technological University,Houghton, MI 
117,117,University of California at Irvine,Irvine, CA 
118,118,Indiana University,Bloomington, IN 
119,119,Occidental College,Los Angeles, CA 
120,120,Florida State University,Tallahassee, FL 
121,121,University of California at San Diego,La Jolla, CA 
122,122,University of Iowa,Iowa City, IA 
123,123,Loyola Marymount University,Los Angeles, CA 
124,124,California Polytechnic State University - San Luis Obispo,San Luis Obispo, CA 
125,125,Union College,Schenectady, NY 
126,126,University of Delaware,Newark, DE 
127,127,Iowa State University,Ames, IA 
128,128,Lawrence University,Appleton, WI 
129,129,American University,Washington, DC 
130,130,Texas Christian University,Fort Worth, TX 
131,131,Syracuse University,Syracuse, NY 
132,132,Rutgers University,Piscataway, NJ 
133,133,Franklin and Marshall College,Lancaster, PA 
134,134,University of Massachusets Amherst,Amherst, MA 
135,135,Wabash College,Crawfordsville, IN 
136,136,Denison University,Granville, OH 
137,137,Gustavus Adolphus College,Saint Peter, MN 
138,138,Bentley University,Waltham, MA 
139,139,Auburn University,Auburn, AL 
140,140,Oberlin College,Oberlin, OH 
141,141,James Madison University,Harrisonburg, VA 
142,142,Pepperdine University,Malibu, CA 
143,143,Sewanee: The University of the South,Sewanee, TN 
144,144,St. Louis University,St. Louis, MO 
145,145,University of Portland,Portland, OR 
146,146,University of Oklahoma,Norman, OK 
147,147,University of Denver,Denver, CO 
148,148,University of San Diego,San Diego, CA 
149,149,Oklahoma State University,Stillwater, OK 
